[12:42:54] [main/INFO]: Found mod file invhud.forge.1.19-3.4.7.jar of type MOD with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
[12:42:54] [main/INFO]: Found mod file Jade-1.19.1-forge-8.8.1.jar of type MOD with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
[12:42:54] [main/INFO]: Found mod file JadeAddons-1.19.2-forge-3.4.0.jar of type MOD with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
[12:42:54] [main/INFO]: Found mod file jeed-1.19.2-2.1.2.jar of type MOD with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
[12:42:54] [main/INFO]: Found mod file jei-1.19.2-forge-11.6.0.1015.jar of type MOD with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
[12:42:54] [main/INFO]: Found mod file JustEnoughProfessions-forge-1.19.2-2.0.2.jar of type MOD with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
[12:42:54] [main/INFO]: Found mod file JustEnoughResources-1.19.2-1.1.0.179.jar of type MOD with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
[12:42:54] [main/INFO]: Found mod file Kiwi-1.19.1-forge-8.3.4.jar of type MOD with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
[12:42:54] [main/INFO]: Found mod file kleeslabs-forge-1.19.2-12.3.0.jar of type MOD with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
[12:42:54] [main/INFO]: Found mod file konkrete_forge_1.6.1_MC_1.19-1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
[12:42:54] [main/INFO]: Found mod file kotlinforforge-3.12.0-all.jar of type LIBRARY with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
[12:42:54] [main/INFO]: Found mod file kubejs-create-forge-1902.1.1-build.35.jar of type MOD with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
[12:42:54] [main/INFO]: Found mod file kubejs-forge-1902.6.0-build.142.jar of type MOD with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
[12:42:54] [main/INFO]: Found mod file kubejs-immersive-engineering-1902.2.2-build.40.jar of type MOD with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
[12:42:54] [main/INFO]: Found mod file kubejs-mekanism-1902.1.4-build.11.jar of type MOD with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
